"famunit","age","sex","educ","labforce","employed","retired","incwage","incss"
366,70,"woman","some_college","no","no","no",0,"YES"
367,66,"woman","some_college","no","no","no",0,"YES"
368,49,"woman","some_college","yes","yes","no",75000,"NO"
369,35,"woman","college_plus","yes","yes","no",1e+05,"NO"
370,41,"woman","college_plus","yes","yes","no",23700,"NO"
371,84,"woman","some_college","no","no","no",0,"YES"
372,72,"woman","some_college","no","no","no",0,"YES"
373,79,"man","no_college","no","no","no",0,"YES"
374,63,"woman","some_college","yes","yes","no",32000,"NO"
375,32,"woman","no_college","no","no","no",0,"YES"
376,53,"woman","college_plus","yes","yes","no",60000,"NO"
377,25,"woman","some_college","no","no","no",2000,"NO"
378,30,"woman","no_college","no","no","no",4200,"NO"
379,93,"man","college_plus","no","no","no",0,"YES"
380,19,"man","no_college","yes","yes","no",24000,"NO"
381,64,"man","college_plus","no","no","no",0,"YES"
382,45,"woman","college_plus","yes","yes","no",63000,"NO"
383,51,"woman","college_plus","yes","yes","no",75000,"NO"
384,75,"woman","college_plus","no","no","no",0,"NO"
385,62,"man","college_plus","yes","yes","no",1e+05,"NO"
386,60,"man","college_plus","yes","yes","no",90000,"NO"
387,61,"woman","college_plus","yes","yes","no",48500,"NO"
388,64,"man","college_plus","yes","yes","no",30000,"NO"
389,43,"man","college_plus","yes","yes","no",0,"NO"
390,80,"woman","no_college","yes","yes","no",16600,"YES"
391,31,"woman","college_plus","yes","yes","no",33000,"NO"
392,53,"woman","no_college","yes","yes","no",55000,"NO"
393,32,"man","college_plus","yes","yes","no",40000,"NO"
394,18,"woman","no_college","no","no","no",1100,"NO"
395,78,"man","no_college","yes","yes","no",1100,"YES"
396,41,"man","college_plus","yes","yes","no",65000,"NO"
397,26,"woman","college_plus","yes","yes","no",50000,"NO"
398,66,"woman","some_college","no","no","no",0,"YES"
399,42,"man","no_college","no","no","no",0,"NO"
400,28,"man","some_college","yes","yes","no",17200,"NO"
401,79,"woman","some_college","yes","yes","no",10000,"YES"
402,93,"man","no_college","no","no","no",0,"YES"
403,41,"woman","college_plus","yes","yes","no",45000,"NO"
404,56,"man","some_college","no","no","no",0,"YES"
405,50,"man","no_college","no","no","no",0,"YES"
406,45,"man","college_plus","yes","yes","no",30000,"NO"
407,25,"man","no_college","yes","yes","no",2000,"NO"
408,21,"man","no_college","yes","yes","no",0,"NO"
